"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Hesc Line H1","","","GSE21715","MicroArray","GPL10399","GPR37","1.853","3.822","True"
"Hips-Huvhips4F1","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","HOXB3","2.963","3.821","True"
"Embryonic Stem Cell H1","72h","","GSE99202","RNASeq","","SLC39A8","-2.395","-3.821","False"
"Embryonic Stem Cell H1","72h","","GSE99202","RNASeq","","LTBP4","2.394","3.820","False"
"Hips-Huvhips4F3","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","SELENOP","2.037","3.819","True"
"H9","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","PTPRM","2.284","3.819","True"
"Ipsc3.12","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","SORCS1","2.094","3.818","True"
"H9 Hesc","48h","50ng/mL","GSE76586","RNASeq","","FEZF2","1.942","3.818","True"
"Hips-Huvhips4F1","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","AFAP1L2","2.960","3.818","True"
"Hes-H9","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","ITM2A","-1.171","-3.817","True"
"Hesc Line H1","","","GSE21715","MicroArray","GPL10399","DIAPH2","-1.851","-3.817","True"
"Ipsc3.5","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","GATA6","2.100","3.817","True"
"H9","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","ARHGAP28","2.283","3.817","True"
"Embryonic Stem","3d","100ng/mL","GSE29421","MicroArray","HuEx-1_0-st-v2","PLAC8","1.686","3.816","True"
"Hips-Huvhips4F1","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","SPARCL1","2.958","3.815","True"
"H9 Hesc","6h","50ng/mL","GSE76586","RNASeq","","GSDMB","-1.361","-3.814","False"
"Pbmc","","","GSE78276","RNASeq","","TPRG1","-0.719","-3.814","True"
"Induced Chondrocyte","","","GSE69459","MicroArray","HuGene-1_0-st-v1","RASGRP3","1.566","3.813","False"
"Hips-Huvhips4F3","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","ZDHHC22","-2.034","-3.812","True"
"Embryonic Stem","3d","100ng/mL","GSE29421","MicroArray","HuEx-1_0-st-v2","HNF1B","1.684","3.812","True"
"Induced Chondrocyte","","","GSE69459","MicroArray","HuGene-1_0-st-v1","DSEL","-1.565","-3.811","False"
"Embryonic Stem","5d","100ng/mL","GSE29421","MicroArray","HuEx-1_0-st-v2","NTS","1.898","3.811","True"
"Embryonic Stem","1d","100ng/mL","GSE29421","MicroArray","HuEx-1_0-st-v2","FLNC","-1.315","-3.810","False"
"Ipsc3.12","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","SETD7","2.090","3.810","True"
"Embryonic Stem","1d","100ng/mL","GSE29421","MicroArray","HuEx-1_0-st-v2","GPR176","-1.315","-3.810","False"
"H9 Hesc","48h","50ng/mL","GSE76586","RNASeq","","TIMP4","1.938","3.810","True"
"Hes-H9","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","TUBA4A","-1.168","-3.809","True"
"H9","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","NMRK1","2.278","3.809","True"
"Embryonic Stem Cell H1","24h","","GSE99202","RNASeq","","ANP32C","-1.672","-3.808","False"
"Hips-Huvhips4F1","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","CCBE1","2.953","3.808","True"
"Ipsc3.5","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","FLRT2","2.095","3.808","True"
"Hips-Huvhips4F3","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","TMTC2","2.031","3.808","True"
"Ipsc3.12","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","OR5P3","2.088","3.807","True"
"Embryonic Stem Cell H1","24h","","GSE99202","RNASeq","","SCARA3","1.671","3.807","False"
"Hips-Huvhips4F1","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","ATP1A3","-2.952","-3.807","True"
"H9","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","C12orf56","-2.277","-3.807","True"
"Hesc Line H1","","","GSE21715","MicroArray","GPL10399","MOBP","1.846","3.807","True"
"Embryonic Stem Cell H1","72h","","GSE99202","RNASeq","","SOD3","2.386","3.807","False"
"Hes-H9","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","DGKK","-1.167","-3.806","True"
"Hips-Huvhips4F1","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","RNF125","-2.951","-3.806","True"
"Induced Chondrocyte","","","GSE69459","MicroArray","HuGene-1_0-st-v1","HAS2","1.563","3.806","False"
"Induced Chondrocyte","","","GSE69459","MicroArray","HuGene-1_0-st-v1","GPC3","-1.563","-3.806","False"
"Embryonic Stem","5d","100ng/mL","GSE29421","MicroArray","HuEx-1_0-st-v2","RBM24","1.895","3.805","True"
"Ipsc3.5","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","TEX15","-2.094","-3.805","True"
"Ipsc3.5","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","RASGEF1B","2.093","3.804","True"
"H9","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","LPL","-2.275","-3.804","True"
"Ipsc3.5","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","MYORG","2.093","3.803","True"
"Ipsc3.5","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","METTL7A","-2.093","-3.803","True"
"Hes-H9","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","BTG2","1.166","3.803","True"
"H9","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","SLC19A3","-2.274","-3.802","True"
"Pbmc","","","GSE78276","RNASeq","","AQP3","0.717","3.802","True"
"Ipsc3.12","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","DPPA2","-2.085","-3.802","True"
"Hips-Huvhips4F1","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","LRRC32","2.948","3.802","True"
