"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","ZNF257","2.343","4.568","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","LYSMD4","-2.333","-4.549","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","ZNF791","-2.320","-4.524","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","LINC00909","-2.263","-4.520","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","TBC1D13","-2.317","-4.517","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","CST3","-2.310","-4.505","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","JARID2","-2.310","-4.505","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","MND1","2.247","4.489","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","CST3","-2.245","-4.484","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","SLBP","2.296","4.478","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","HPGDS","-2.231","-4.456","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","KBTBD2","-2.229","-4.453","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","DHFR","2.280","4.445","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","HPGDS","-2.279","-4.443","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","PKD2","-2.271","-4.428","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","FAM110A","-2.260","-4.407","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","PPRC1","2.204","4.402","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","IFIT2","-2.199","-4.394","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","BCDIN3D","-2.199","-4.394","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","RFC4","2.253","4.393","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","HERC1","-2.251","-4.389","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","C4orf36","-2.195","-4.386","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","ZNF562","2.192","4.379","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","DNAJC28","-2.245","-4.378","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","HBD","-2.187","-4.370","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","TYMS","2.183","4.361","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","LNPEP","2.235","4.358","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","TNFSF8","2.176","4.346","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","CREB3","-2.173","-4.341","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","STK32B","2.223","4.334","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","PPP1R13B","2.168","4.332","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","POP7","2.219","4.327","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","SUSD1","-2.164","-4.323","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","IL2RG","2.162","4.319","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","RABGGTA","2.149","4.294","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","PIK3CG","2.201","4.292","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","DYRK4","2.139","4.273","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","ZNF514","2.139","4.272","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","XPO5","2.183","4.257","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","WDHD1","2.131","4.257","False"
