"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Reconstructed Epidermis","","200ng/mL","GSE52361","MicroArray","HG-U133_Plus_2","FBXO45","1.343","4.461","True"
"Bronchial Airway Smooth Muscle","2h","10ng/mL","GSE35643","MicroArray","HuGene-1_0-st-v1","FREM3","0.397","4.461","True"
"Primary Hepatic Stellate","","40ng/mL","GSE119047","RNASeq","","MFSD3","0.235","4.460","False"
"Fibroblast","2h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","CCL2","0.701","4.460","False"
"Hacat","12h","200ng/mL","GSE27533","MicroArray","GPL10558","HSP90AB1","-1.079","-4.458","False"
"Thp1","","100ng/mL","GSE37659","MicroArray","HG-U133_Plus_2","GRN","2.864","4.458","True"
"Fibroblast","8h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","DHFR","0.504","4.458","False"
"Thp1","","100ng/mL","GSE37659","MicroArray","HG-U133_Plus_2","FXYD5","2.862","4.456","True"
"Aortic Vascular Smooth Muscle","6h","100ng/mL","GSE11367","MicroArray","HG-U133_Plus_2","PRTFDC1","-1.054","-4.456","True"
"Cd14+ Monocyte","24h","200ng/mL","GSE54884","MicroArray","HG-U133A_2","B3GNT2","1.589","4.455","True"
"Fibroblast","4h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","MMP3","0.603","4.455","False"
"Cd14+ Monocyte","24h","200ng/mL","GSE54884","MicroArray","HG-U133A_2","EXOC5","1.589","4.455","True"
"Su-Dhl2","72h","200pg/mL","GSE115855","MicroArray","GPL13497","CXCR1","0.831","4.455","False"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","HG-U133_Plus_2","ATP1B1","1.450","4.454","True"
"Hacat","12h","200ng/mL","GSE27533","MicroArray","GPL10558","PTMS","-1.078","-4.454","False"
"Aortic Vascular Smooth Muscle","6h","100ng/mL","GSE11367","MicroArray","HG-U133_Plus_2","BNC1","1.054","4.454","True"
"Fibroblast","4h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","PPL","-0.603","-4.454","False"
"Thp1","","100ng/mL","GSE37659","MicroArray","HG-U133_Plus_2","GFM2","2.859","4.451","True"
