,plate_name,position,sample,pool,concentration,concentration_unit,antigen_in_sample,variable,value
161,CALI2,C10,AgPool5,5,23.592959999999998,ng/mL,IL-12 p70,IL-12 p70,2.951878852848111
162,CALI2,D03,AgPool2,2,14400.0,ng/mL,IL-23,IL-12 p70,-1.8764294500666523
163,CALI2,D04,AgPool2,2,9.437184,ng/mL,IL-23,IL-12 p70,-0.5611730904256262
164,CALI2,D07,AgPool4,4,14400.0,ng/mL,IL-12 p40,IL-12 p70,-1.1400363251750534
165,CALI2,D08,AgPool4,4,9.437184,ng/mL,IL-12 p40,IL-12 p70,-1.075414548821385
166,CALI2,D09,AgPool5,5,14400.0,ng/mL,IL-12 p70,IL-12 p70,60.8708800670378
167,CALI2,D10,AgPool5,5,9.437184,ng/mL,IL-12 p70,IL-12 p70,0.5650008594033196
168,CALI2,E03,AgPool2,2,5760.0,ng/mL,IL-23,IL-12 p70,-0.826494464074834
169,CALI2,E04,AgPool2,2,3.774874,ng/mL,IL-23,IL-12 p70,1.5762300620327352
170,CALI2,E07,AgPool4,4,5760.0,ng/mL,IL-12 p40,IL-12 p70,-0.384839358777711
171,CALI2,E08,AgPool4,4,3.774874,ng/mL,IL-12 p40,IL-12 p70,-1.2034565840377098
172,CALI2,E09,AgPool5,5,5760.0,ng/mL,IL-12 p70,IL-12 p70,61.36378604905133
173,CALI2,E10,AgPool5,5,3.774874,ng/mL,IL-12 p70,IL-12 p70,0.23780587587189927
174,CALI2,F03,AgPool2,2,2304.0,ng/mL,IL-23,IL-12 p70,-0.8892330835863049
175,CALI2,F04,AgPool2,2,1.509949,ng/mL,IL-23,IL-12 p70,-0.8249842871888902
176,CALI2,F07,AgPool4,4,2304.0,ng/mL,IL-12 p40,IL-12 p70,0.0454520912727574
177,CALI2,F08,AgPool4,4,1.509949,ng/mL,IL-12 p40,IL-12 p70,1.2477399446412463
178,CALI2,F09,AgPool5,5,2304.0,ng/mL,IL-12 p70,IL-12 p70,56.68246304062574
179,CALI2,F10,AgPool5,5,1.509949,ng/mL,IL-12 p70,IL-12 p70,-0.024549021806308247
180,CALI2,G03,AgPool2,2,921.6,ng/mL,IL-23,IL-12 p70,0.3510099432277869
181,CALI2,G04,AgPool2,2,0.60398,ng/mL,IL-23,IL-12 p70,-1.513091663909627
182,CALI2,G07,AgPool4,4,921.6,ng/mL,IL-12 p40,IL-12 p70,-0.07386860575522292
183,CALI2,G08,AgPool4,4,0.60398,ng/mL,IL-12 p40,IL-12 p70,0.3325406154239374
184,CALI2,G09,AgPool5,5,921.6,ng/mL,IL-12 p70,IL-12 p70,45.07113465236703
185,CALI2,G10,AgPool5,5,0.60398,ng/mL,IL-12 p70,IL-12 p70,-0.7992127597734822
186,CALI2,H03,AgPool2,2,368.64000000000004,ng/mL,IL-23,IL-12 p70,0.27302326213742845
187,CALI2,H04,AgPool2,2,0.241592,ng/mL,IL-23,IL-12 p70,-0.5921060333333727
188,CALI2,H07,AgPool4,4,368.64000000000004,ng/mL,IL-12 p40,IL-12 p70,0.16802824604020827
189,CALI2,H08,AgPool4,4,0.241592,ng/mL,IL-12 p40,IL-12 p70,-0.9111317266155439
190,CALI2,H09,AgPool5,5,368.64000000000004,ng/mL,IL-12 p70,IL-12 p70,28.083185768290875
191,CALI2,H10,AgPool5,5,0.241592,ng/mL,IL-12 p70,IL-12 p70,0.6229515740804104
192,CALI1,A03,AgPool2,2,225000.0,ng/mL,IL-23,IL-23,57.193220892049546
193,CALI1,A04,AgPool2,2,147.45600000000002,ng/mL,IL-23,IL-23,3.291662428855524
194,CALI1,A07,AgPool4,4,225000.0,ng/mL,IL-12 p40,IL-23,-3.891206423851301
195,CALI1,A08,AgPool4,4,147.45600000000002,ng/mL,IL-12 p40,IL-23,0.6472567063291024
196,CALI1,A09,AgPool5,5,225000.0,ng/mL,IL-12 p70,IL-23,-2.1178763173944404
197,CALI1,A10,AgPool5,5,147.45600000000002,ng/mL,IL-12 p70,IL-23,-1.249677783152059
198,CALI1,B03,AgPool2,2,90000.0,ng/mL,IL-23,IL-23,57.97259319162489
199,CALI1,B04,AgPool2,2,58.9824,ng/mL,IL-23,IL-23,1.2333915614899382
200,CALI1,B07,AgPool4,4,90000.0,ng/mL,IL-12 p40,IL-23,-2.2757396354172954
201,CALI1,B08,AgPool4,4,58.9824,ng/mL,IL-12 p40,IL-23,0.28556867752786985
202,CALI1,B09,AgPool5,5,90000.0,ng/mL,IL-12 p70,IL-23,-0.264245725307255
203,CALI1,B10,AgPool5,5,58.9824,ng/mL,IL-12 p70,IL-23,-0.6591477239259902
204,CALI1,C03,AgPool2,2,36000.0,ng/mL,IL-23,IL-23,55.56668462983634
205,CALI1,C04,AgPool2,2,23.592959999999998,ng/mL,IL-23,IL-23,0.3191946465298301
206,CALI1,C07,AgPool4,4,36000.0,ng/mL,IL-12 p40,IL-23,-0.41983032467367565
207,CALI1,C08,AgPool4,4,23.592959999999998,ng/mL,IL-12 p40,IL-23,-0.7530037744878371
208,CALI1,C09,AgPool5,5,36000.0,ng/mL,IL-12 p70,IL-23,-1.2721800014421802
